CODMES,ID,DEFAULT,DEUDA_RCC,ATRASO_12M,CLASIFSBS,VARPASIVO_6_12,FLUJO_TRANSACCIONAL
201801,415536,0,439180.185,0,0,1.212356158,0.055803591
201803,415536,0,439159.965,0,0,1.145527647,0.025444246
201802,415536,0,439247.91,0,0,1.19320743,0.041087876
201805,415536,0,439342.86,0,0,0.999670555,0.093758626
201804,415536,0,439185.03,4,0,1.072088311,0.027453317
201808,415536,0,439159.965,0,0,0.775813728,0.024221058
201809,415536,0,332179.545,3,0,0.710312271,0.023973901
201807,415536,0,439228.215,0,0,0.831034877,0.189815424
201806,415536,0,439165.65,0,0,0.906396764,0.050742555
201812,415536,0,332179.545,0,0,0.783070694,0.233295457
201811,415536,0,332230.74,0,0,0.709633281,0.088939513
201810,415536,0,332469.9,0,0,0.690499381,0.105913787
201806,422754,0,5009.46,0,0,1.124385834,0.070165007
201807,422754,0,11544,0,0,1.024778386,0.077648669
201809,422754,0,8861.565,0,0,0.751382538,0.085620014
201808,422754,0,7142.34,0,0,0.873069452,0.111355501
201804,422754,0,4652.82,0,0,1.212526659,0.075326666
201805,422754,0,7436.355,0,0,1.186586119,0.077071384
201802,422754,0,4807.23,0,0,1.149794912,0.060656942
201803,422754,0,3972.225,0,0,1.216551731,0.084653719
201801,422754,0,5147.52,0,0,1.046301809,0.062827685
201810,422754,0,19304.295,0,0,0.667770795,0.060506984
201811,422754,0,4445.565,0,0,0.588655156,0.065977603
201812,422754,0,8420.235,0,0,0.559598176,0.076100273
201808,431808,0,249773.7,0,0,1.07564892,0.071127468
201809,431808,0,527856.3,0,0,1.179607953,0.084330851
201812,431808,0,573173.505,0,0,1.158768239,0.144911845
201811,431808,0,684184.545,0,0,1.011674751,0.084208092
201810,431808,0,683361.045,0,0,1.050713053,0.115822067
201809,435690,0,3244367.775,0,0,1.026090255,0.067704999
201808,435690,0,2775795.78,0,0,0.82482183,0.044187569
201807,435690,0,2322387.555,0,0,0.874524711,0.059948107
201806,435690,0,2568229.65,0,0,0.938543822,0.037132571
201803,435690,0,2581468.5,0,0,1.068947233,0.060232973
201802,435690,0,2621947.83,0,0,1.017848633,0.055596788
201805,435690,0,2766009.78,6,0,1.149717673,0.085129263
201804,435690,0,3039714.645,0,0,1.086560088,0.031272411
201801,435690,0,3378943.275,0,0,0.990245518,0.037849797
201810,435690,0,3959686.44,0,0,1.066212254,0.047892351
201811,435690,0,4418126.055,0,0,1.033882,0.06999417
201812,435690,0,4300168.275,1,0,1.211698578,0.046802125
201801,435750,0,9385100.19,29,0,0.798762297,0.058321116
201804,435750,0,10458771.68,0,0,0.848326153,0.033155415
201805,435750,0,12187512.72,0,0,0.92587196,0.094672672
201802,435750,0,9055967.835,0,0,0.802987002,0.034617011
201803,435750,0,9374078.535,0,0,0.842441127,0.058844426
201806,435750,0,11833568.52,0,0,1.060287988,0.08559763
201807,435750,0,13055103.62,0,0,1.169476462,0.05434114
201808,435750,0,11693213.6,0,0,1.297796746,0.086489737
201809,435750,0,10969414.17,0,0,1.211289502,0.048241448
201812,435750,0,8588096.55,0,0,1.163473518,0.1391614
201811,435750,0,10757144.4,0,0,1.118999082,0.131158748
201810,435750,0,11292370.07,0,0,1.212221996,0.055170591
201809,438004,0,2236381.755,0,0,0.950041389,0.115516378
201808,438004,0,2364104.535,0,0,0.941072234,0.127803983
201807,438004,0,2018477.46,0,0,0.897613284,0.088688227
201806,438004,0,1875318.9,0,0,0.871792213,0.106095306
201803,438004,0,1551664.425,0,0,0.926437898,0.114247583
201802,438004,0,1415686.65,0,0,0.954993044,0.133158099
201805,438004,0,1498127.745,0,0,0.88616124,0.114414587
201804,438004,0,1082569.74,0,0,0.890069455,0.073787688
201801,438004,0,1785550.935,0,0,1.028395271,0.113185199
201810,438004,0,2233137.735,0,0,0.993618431,0.104392505
201811,438004,0,1914411.09,0,0,1.007400864,0.129250571
201812,438004,0,1678001.01,0,0,1.040750929,0.11918069
201801,440180,0,926881.11,0,0,1.009820915,0.020492564
201804,440180,0,492065.97,0,0,0.685945957,0.020013317
201802,440180,0,525537.225,0,0,0.9210775,0.020181928
201803,440180,0,511440.51,0,0,0.819776276,0.020253243
201803,440428,0,5802559.605,0,0,0.702918199,0.059857857
201802,440428,0,6160712.805,0,0,0.554253892,0.055894827
201805,440428,0,4976752.875,0,0,0.978022021,0.053994702
201806,440428,0,5182570.515,0,0,0.992179679,0.035635499
201807,440428,0,5901256.305,0,0,0.995475735,0.069594576
201808,440428,0,6121219.695,4,0,1.04288603,0.056955684
201809,440428,0,6680864.055,0,0,1.044010305,0.091352429
201801,440428,0,6360969.03,0,0,0.54694373,0.097404684
201812,440428,0,6097072.005,0,0,1.184661837,0.054994446
201811,440428,0,6352968.3,2,0,1.120659475,0.063824561
201810,440428,0,6349074.66,2,0,1.008911916,0.093887934
201801,441622,0,377161.02,0,0,1.099048208,0.084234445
201809,441622,0,118138.635,0,0,0.921083605,0.100433873
201808,441622,0,147247.455,0,0,0.935598523,0.106713603
201807,441622,0,180713.715,0,0,1.013775564,0.102443577
201806,441622,0,214020.36,0,0,1.05623502,0.107899017
201805,441622,0,247028.025,0,0,1.072492135,0.1213482
201804,441622,0,279672.63,0,0,1.113700571,0.13360129
201802,441622,0,344819.37,0,0,1.170857424,0.081811755
201803,441622,0,312678.945,0,0,1.159099148,0.115520105
201810,441622,0,88925.505,0,0,0.929323112,0.107554946
201811,441622,0,59428.2,0,0,0.904669633,0.110447409
201812,441622,0,1507536.045,0,0,0.852114316,0.118865939
201803,453852,0,8284189.8,0,0,0.278295839,0.06994637
201802,453852,0,8438528.955,0,0,0.242631106,0.066705656
201804,453852,0,8026856.49,0,0,0.335267077,0.067445314
201805,453852,0,7840075.77,0,0,0.454892797,0.059686201
201806,453852,0,7654496.625,0,0,0.767158383,0.060119221
201807,453852,0,7437529.215,0,0,1.337672639,0.043363167
201808,453852,0,7259131.29,0,0,1.380021562,0.11348225
201809,453852,0,7107265.32,0,0,1.431252139,0.048560481
201801,453852,0,8682924.495,0,0,0.20447731,0.075629278
201812,453852,0,6283968.225,0,0,1.82532076,0.039490846
201811,453852,0,6449015.88,0,0,1.48934598,0.045593412
201810,453852,0,6556752.72,0,0,1.44253689,0.042529971
201801,458638,0,44327041.76,2,0,0.992017602,0.209911816
201809,458638,0,41294337.57,3,0,0.838852595,0.112959848
201808,458638,0,43660332.24,4,0,0.662237372,0.146942233
201807,458638,0,45480274.97,8,0,0.59101568,0.121158221
201806,458638,0,45635024.09,0,0,0.631523164,0.101273454
201805,458638,0,46377147.02,0,0,0.744378512,0.054710889
201804,458638,0,46010853.15,7,0,0.788155015,0.108632395
201802,458638,0,43407724.97,5,0,0.973524761,0.075397825
201803,458638,0,44107188.99,8,0,0.837508426,0.09644379
201810,458638,0,38986339.83,0,0,0.969141366,0.212479262
201811,458638,0,39865999.46,0,0,1.093446259,0.091509889
201812,458638,0,36900874.73,0,1,1.262026087,0.111542958
201803,459924,0,1478742.78,0,0,1.0733559,0.092881005
201802,459924,0,1150847.595,0,0,1.241508034,0.079663239
201804,459924,0,1706230.515,0,0,0.973444328,0.09388514
201805,459924,0,1231725.255,0,0,0.94540302,0.101142486
201806,459924,0,1154850.42,0,0,0.846527188,0.10144155
201807,459924,0,709697.67,0,0,0.876006245,0.092727076
201808,459924,0,1015878.345,0,0,0.824835223,0.085762743
201809,459924,0,1013265.75,0,0,0.877642866,0.097766824
201801,459924,0,1333688.64,0,0,1.202688832,0.095344582
201812,459924,0,656035.5,0,0,0.999342029,0.112794667
201811,459924,0,747646.5,0,0,0.915438709,0.111201509
201810,459924,0,590480.055,0,0,0.927460436,0.105745927
201801,459946,0,2025059.415,0,0,1.514771366,0.033669619
201809,459946,0,1792698.09,0,0,0.801931544,0.03341916
201808,459946,0,1749884.805,0,0,0.819281036,0.046162707
201807,459946,0,1752033.63,0,0,0.875573704,0.034437714
201806,459946,0,1904191.005,0,0,0.942154335,0.041779896
201805,459946,0,1928671.875,0,0,1.077410301,0.03465345
201804,459946,0,1952910,0,0,1.179618406,0.04038983
201802,459946,0,2001325.455,0,0,1.420259491,0.047043858
201803,459946,0,1977111,0,0,1.342079629,0.033642633
201810,459946,0,1700563.29,0,0,0.874269188,0.045858703
201811,459946,0,1656194.685,0,0,0.869984975,0.033256126
201812,459946,0,1839856.695,0,0,0.858639422,0.03980803
201803,466558,0,3279955.575,0,0,1.374677424,0.038998383
201802,466558,0,3823813.05,0,0,1.358241594,0.039585004
201804,466558,0,3598762.815,0,0,1.416526995,0.065488413
201805,466558,0,2945346.42,0,0,1.070332439,0.128123904
201806,466558,0,3351430.86,0,0,0.915707605,0.065004813
201807,466558,0,2545624.515,0,0,0.93526573,0.075606057
201808,466558,0,2654942.34,0,0,0.79699154,0.049949997
201809,466558,0,2800050.885,0,0,0.882496079,0.083976406
201801,466558,0,3677102.82,0,0,1.269843977,0.038392932
201812,466558,0,2302421.13,0,0,1.056430739,0.073979203
201811,466558,0,2607057.705,0,0,1.002040739,0.075383026
201810,466558,0,2503475.1,0,0,0.873545919,0.051299042
201801,466590,0,1243450.455,5,0,1.091497987,0.053006174
201809,466590,0,1184992.515,3,0,0.941938221,0.055280325
201808,466590,0,1181943.225,3,0,1.07204889,0.059010657
201807,466590,0,1179242.73,0,0,1.060653849,0.03986823
201806,466590,0,1137167.355,4,0,1.07720987,0.042269552
201805,466590,0,1134432.975,3,0,1.085371311,0.05983115
201804,466590,0,1064092.38,28,0,1.16323958,0.037734703
201802,466590,0,1021714.365,1,0,1.128002757,0.064793469
201803,466590,0,1211617.485,0,0,1.070365655,0.05987796
201810,466590,0,1020292.665,5,0,0.846199597,0.062843292
201811,466590,0,895891.125,3,0,0.920220779,0.071201897
201812,466590,0,978096.915,0,0,0.917099075,0.054229382
201803,469710,0,68000.82,0,0,1.14922729,0.17280193
201802,469710,0,68502.645,0,0,1.183008829,0.174961544
201804,469710,0,64350.12,0,0,1.073261644,0.164310182
201805,469710,0,62139.24,0,0,1.024700037,0.244926186
201806,469710,0,61548.66,0,0,1.078106908,0.241180025
201807,469710,0,60970.215,0,0,1.08266637,0.197321828
201808,469710,0,56713.38,0,0,1.038647054,0.209497116
201809,469710,0,55909.74,0,0,1.061437456,0.144009158
201801,469710,0,70375.545,0,0,1.182820497,0.264525
201812,469710,0,50686.995,0,0,1.177986094,0.148634901
201811,469710,0,63051.09,0,0,1.203966401,0.204764172
201810,469710,0,53401.965,0,0,1.127581573,0.177108657
201810,470450,0,1005868.155,0,0,0.481682801,0.038508601
201811,470450,0,1517995.65,0,0,0.678927195,0.078089796
201812,470450,0,3098374.53,3,0,1.220992068,0.079533825
201801,471038,0,6724058.67,0,0,1.375311476,0.040740341
201809,471038,0,8469297.09,0,0,0.778063505,0.056456782
201808,471038,0,8355285.75,0,0,0.932701928,0.127494489
201807,471038,0,8367183.27,0,0,0.876406119,0.122685452
201806,471038,0,7934590.23,0,0,0.930604846,0.055093753
201805,471038,0,8382790.95,0,0,1.07523475,0.078852269
201804,471038,0,7659997.71,0,0,1.188835266,0.031376802
201802,471038,0,6501654.585,0,0,1.377116997,0.042294436
201803,471038,0,6868173.72,0,0,1.394271133,0.039821059
201812,471038,0,8450454.435,0,0,0.982431386,0.065173955
201811,471038,0,8088479.31,0,0,0.889576952,0.171473585
201810,471038,0,8509781.655,0,0,0.701347928,0.103070864
201803,471304,0,387522.72,0,0,1.718330332,0.081498711
201802,471304,0,866840.685,0,0,1.788153637,0.042103286
201804,471304,0,1877144.79,0,0,1.675331089,0.100311537
201805,471304,0,1658059.98,0,0,1.466248167,0.139070927
201806,471304,0,1696840.02,0,0,1.162513585,0.131349628
